tf_adjusted_match_prob,match_probability,source_dataset_l,unique_id_l,source_dataset_r,unique_id_r,name_l,name_r,gamma_name,address_l,address_r,gamma_address,city_l,city_r,gamma_city,state_l,state_r,gamma_state,match_key
0.742173561,0.742173561,ndar,1467,ndar,4103,northwest oncology/hematology,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,1513,ndar,9114,grabowski surgical associates,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,1513,ndar,4103,grabowski surgical associates,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,1564,ndar,8093,girard orthopaedic surgeons med grp,igo medical group a med,0,9333 Genesee Ave,9339 Genesee Ave,1,San Diego,San Diego,1,CA,CA,1,1
0.742173561,0.742173561,ndar,2044,ndar,9114,bonaventure medical foundation,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,2044,ndar,4103,bonaventure medical foundation,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,2104,ndar,4796,cardiac testing,milwaukee health services,0,960 N 12th St,950 N 12th St,1,Milwaukee,Milwaukee,1,WI,WI,1,1
0.742173561,0.742173561,ndar,2104,ndar,641,cardiac testing,sinai samaritan clinic,0,960 N 12th St,950 N 12th St,1,Milwaukee,Milwaukee,1,WI,WI,1,1
1.62E-08,4.30E-07,ndar,2147,ndar,5763,good shepherd medical center,good shepherd medical center,2,610 NW 11th St,620 NW 11th St,1,Hermiston,Hermiston,1,OR,OR,1,1
0.742173561,0.742173561,ndar,3201,ndar,3478,mahoning valley hem onc asc,shc youngstown ohio lab svcs co,0,835 Southwestern Run,811 Southwestern Run,1,Youngstown,Youngstown,1,OH,OH,1,1
0.742173561,0.742173561,ndar,3389,ndar,9190,moran rowen dorsey,"stanton, david",0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,7767,moran rowen dorsey,national ambulatory hernia ins,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,7591,moran rowen dorsey,pavilion fmly phys med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,7416,moran rowen dorsey,pavilion neurology med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,6979,moran rowen dorsey,newport harbor pth med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,6798,moran rowen dorsey,david b stanton md assocs a med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,6363,moran rowen dorsey,orange county heart institute,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,6325,moran rowen dorsey,breast care ctr of orange,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,5676,moran rowen dorsey,women's healthcare physicians,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,5003,moran rowen dorsey,genetics center,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,4810,moran rowen dorsey,micha rettenmaier brown lacey,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,4404,moran rowen dorsey,endocrine consltnts/spec mg in,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,4314,moran rowen dorsey,orange cnty thor card srgns etc,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3389,ndar,3872,moran rowen dorsey,bristol park medical group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3500,ndar,9114,northwest suburban urologist,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3500,ndar,4103,northwest suburban urologist,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3507,ndar,9114,radiation oncology consultants,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3507,ndar,4103,radiation oncology consultants,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3637,ndar,9190,valley radiotherapy assocs medical group,"stanton, david",0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,7767,valley radiotherapy assocs medical group,national ambulatory hernia ins,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,7591,valley radiotherapy assocs medical group,pavilion fmly phys med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,7416,valley radiotherapy assocs medical group,pavilion neurology med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,6979,valley radiotherapy assocs medical group,newport harbor pth med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,6798,valley radiotherapy assocs medical group,david b stanton md assocs a med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,6363,valley radiotherapy assocs medical group,orange county heart institute,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,6325,valley radiotherapy assocs medical group,breast care ctr of orange,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,5676,valley radiotherapy assocs medical group,women's healthcare physicians,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,5003,valley radiotherapy assocs medical group,genetics center,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,4810,valley radiotherapy assocs medical group,micha rettenmaier brown lacey,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,4404,valley radiotherapy assocs medical group,endocrine consltnts/spec mg in,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,4314,valley radiotherapy assocs medical group,orange cnty thor card srgns etc,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3637,ndar,3872,valley radiotherapy assocs medical group,bristol park medical group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3663,ndar,9114,northwest health care assoc,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3663,ndar,4103,northwest health care assoc,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3666,ndar,9114,hoffman barrington int med,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3666,ndar,4103,hoffman barrington int med,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3813,ndar,9114,st alexius medical center,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3813,ndar,4103,st alexius medical center,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3837,ndar,6434,st vincent hospital and health care cent,indiana radiation oncology,0,8401 Harcourt Rd,8301 Harcourt Rd,1,Indianapolis,Indianapolis,1,IN,IN,1,1
0.742173561,0.742173561,ndar,3872,ndar,8361,bristol park medical group,hawthorne radiology assoc,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,7349,bristol park medical group,newport harbor pth med group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,6880,bristol park medical group,regents university of cal/irvine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,6410,bristol park medical group,allied anesthesia medical group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,5370,bristol park medical group,sidney j weiss md,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,5305,bristol park medical group,genetics center,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,5187,bristol park medical group,neonatal perinatal medicine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,4535,bristol park medical group,childrens hospital orange cty,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3872,ndar,4054,bristol park medical group,county of orange,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,3902,ndar,9114,barrington ortho specialists,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,3902,ndar,4103,barrington ortho specialists,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4002,ndar,7954,naab road surgical group,st vincent hospital and health care cent,0,8240 Naab Rd,8220 Naab Rd,1,Indianapolis,Indianapolis,1,IN,IN,1,1
0.742173561,0.742173561,ndar,4053,ndar,9114,diamond headache clinic,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4053,ndar,4103,diamond headache clinic,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4054,ndar,9190,county of orange,"stanton, david",0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,7767,county of orange,national ambulatory hernia ins,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,7591,county of orange,pavilion fmly phys med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,7416,county of orange,pavilion neurology med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,6979,county of orange,newport harbor pth med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,6798,county of orange,david b stanton md assocs a med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,6363,county of orange,orange county heart institute,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,6325,county of orange,breast care ctr of orange,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,5676,county of orange,women's healthcare physicians,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,5003,county of orange,genetics center,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,4810,county of orange,micha rettenmaier brown lacey,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,4404,county of orange,endocrine consltnts/spec mg in,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4054,ndar,4314,county of orange,orange cnty thor card srgns etc,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4103,ndar,8115,center for sports orthopedics,uropartners,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,6783,center for sports orthopedics,illinois cancer specialists,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,6498,center for sports orthopedics,midwest glaucoma center,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,6245,center for sports orthopedics,neopath,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,5194,center for sports orthopedics,southwest infectious diseases,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,4579,center for sports orthopedics,garb mcguire md's,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,4419,center for sports orthopedics,west suburban urology,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4103,ndar,714,center for sports orthopedics,fahey medical center,0,1585 Barrington Rd,1555 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4314,ndar,8361,orange cnty thor card srgns etc,hawthorne radiology assoc,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,7349,orange cnty thor card srgns etc,newport harbor pth med group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,6880,orange cnty thor card srgns etc,regents university of cal/irvine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,6410,orange cnty thor card srgns etc,allied anesthesia medical group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,5370,orange cnty thor card srgns etc,sidney j weiss md,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,5305,orange cnty thor card srgns etc,genetics center,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,5187,orange cnty thor card srgns etc,neonatal perinatal medicine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4314,ndar,4535,orange cnty thor card srgns etc,childrens hospital orange cty,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,8361,endocrine consltnts/spec mg in,hawthorne radiology assoc,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,7349,endocrine consltnts/spec mg in,newport harbor pth med group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,6880,endocrine consltnts/spec mg in,regents university of cal/irvine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,6410,endocrine consltnts/spec mg in,allied anesthesia medical group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,5370,endocrine consltnts/spec mg in,sidney j weiss md,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,5305,endocrine consltnts/spec mg in,genetics center,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,5187,endocrine consltnts/spec mg in,neonatal perinatal medicine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4404,ndar,4535,endocrine consltnts/spec mg in,childrens hospital orange cty,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4419,ndar,9114,west suburban urology,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,4509,ndar,7784,seth a reiner md,littleton ekg interpretation grp,0,7730 S Broadway,7720 S Broadway,1,Littleton,Littleton,1,CO,CO,1,1
0.742173561,0.742173561,ndar,4535,ndar,9190,childrens hospital orange cty,"stanton, david",0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,7767,childrens hospital orange cty,national ambulatory hernia ins,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,7591,childrens hospital orange cty,pavilion fmly phys med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,7416,childrens hospital orange cty,pavilion neurology med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,6979,childrens hospital orange cty,newport harbor pth med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,6798,childrens hospital orange cty,david b stanton md assocs a med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,6363,childrens hospital orange cty,orange county heart institute,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,6325,childrens hospital orange cty,breast care ctr of orange,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,5676,childrens hospital orange cty,women's healthcare physicians,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,5003,childrens hospital orange cty,genetics center,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4535,ndar,4810,childrens hospital orange cty,micha rettenmaier brown lacey,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4579,ndar,9114,garb mcguire md's,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.989614598,0.989614598,ndar,4796,ndar,8870,milwaukee health services,milwaukee heart specialist,1,950 N 12th St,960 N 12th St,1,Milwaukee,Milwaukee,1,WI,WI,1,1
0.742173561,0.742173561,ndar,4810,ndar,8361,micha rettenmaier brown lacey,hawthorne radiology assoc,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,7349,micha rettenmaier brown lacey,newport harbor pth med group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,6880,micha rettenmaier brown lacey,regents university of cal/irvine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,6410,micha rettenmaier brown lacey,allied anesthesia medical group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,5370,micha rettenmaier brown lacey,sidney j weiss md,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,5305,micha rettenmaier brown lacey,genetics center,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,4810,ndar,5187,micha rettenmaier brown lacey,neonatal perinatal medicine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,8361,genetics center,hawthorne radiology assoc,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,7349,genetics center,newport harbor pth med group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,6880,genetics center,regents university of cal/irvine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,6410,genetics center,allied anesthesia medical group,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,5370,genetics center,sidney j weiss md,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
1.62E-08,4.30E-07,ndar,5003,ndar,5305,genetics center,genetics center,2,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5003,ndar,5187,genetics center,neonatal perinatal medicine,0,1140 W La Veta Ave,1201 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5187,ndar,9190,neonatal perinatal medicine,"stanton, david",0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5187,ndar,7767,neonatal perinatal medicine,national ambulatory hernia ins,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5187,ndar,7591,neonatal perinatal medicine,pavilion fmly phys med grp,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
0.742173561,0.742173561,ndar,5187,ndar,7416,neonatal perinatal medicine,pavilion neurology med group,0,1201 W La Veta Ave,1140 W La Veta Ave,1,Orange,Orange,1,CA,CA,1,1
